date,name,relative_popularity,nationality,page_views,edits
2017-12-31,MS Dhoni,8.2,IN-BR,347010,99
2018-01-31,MS Dhoni,6.0,IN-BR,254295,41
2018-02-28,MS Dhoni,8.25,IN-BR,324641,29
2018-03-31,MS Dhoni,6.75,IN-BR,243725,8
2018-04-30,MS Dhoni,14.2,IN-BR,458292,15
2018-05-31,MS Dhoni,13.75,IN-BR,469982,9
2018-06-30,MS Dhoni,7.25,IN-BR,250831,6
2018-07-31,MS Dhoni,12.8,IN-BR,480647,31
2018-08-31,MS Dhoni,6.5,IN-BR,236440,6
2018-09-30,MS Dhoni,8.0,IN-BR,352797,18
2018-10-31,MS Dhoni,9.5,IN-BR,329021,21
2018-11-30,MS Dhoni,6.5,IN-BR,219577,8
2018-12-31,MS Dhoni,6.4,IN-BR,197248,4
2019-01-31,MS Dhoni,11.0,IN-BR,418260,38
2019-02-28,MS Dhoni,8.25,IN-BR,223800,40
2019-03-31,MS Dhoni,13.4,IN-BR,388973,42
2019-04-30,MS Dhoni,19.0,IN-BR,426569,19
2019-05-31,MS Dhoni,15.25,IN-BR,389789,32
2019-06-30,MS Dhoni,22.2,IN-BR,631921,30
2019-07-31,MS Dhoni,34.25,IN-BR,1048179,123
2019-08-31,MS Dhoni,9.0,IN-BR,266100,15
2019-09-30,MS Dhoni,7.0,IN-BR,208759,8
2019-10-31,MS Dhoni,6.5,IN-BR,200509,7
2019-11-30,MS Dhoni,6.75,IN-BR,190432,12
2019-12-31,MS Dhoni,7.4,IN-BR,222605,9
2020-01-31,MS Dhoni,8.0,IN-BR,252833,14
2020-02-29,MS Dhoni,6.0,IN-BR,194174,0
2020-03-31,MS Dhoni,7.4,IN-BR,153413,9
2020-04-30,MS Dhoni,6.0,IN-BR,194031,17
2020-05-31,MS Dhoni,5.4,IN-BR,200560,10
2020-06-30,MS Dhoni,14.25,IN-BR,416825,21
2020-07-31,MS Dhoni,14.25,IN-BR,372067,3
2020-08-31,MS Dhoni,25.0,IN-BR,812289,61
2020-09-30,MS Dhoni,14.5,IN-BR,290611,27
2020-10-31,MS Dhoni,17.0,IN-BR,452059,41
2020-11-30,MS Dhoni,7.0,IN-BR,246030,25
2020-12-31,MS Dhoni,5.75,IN-BR,209090,14
2016-01-31,A. R. Rahman,45.8,IN-TN,120462,5
2016-02-29,A. R. Rahman,33.0,IN-TN,116169,1
2016-03-31,A. R. Rahman,38.0,IN-TN,109637,33
